# コードＩＤ：CDAC0138  コード名：施設分野、業務内容コード  説明：国土交通省告示に基づく技術者資格評価業務（施設分野／業務）を示すコード。
# コードＩＤ,値,デコード文字列（上2桁）,デコード文字列（下2桁）
CDAC3290,11607,水系,一級水系 一級河川 直轄区間,九頭竜川水系
CDAC3290,11608,水系,一級水系 一級河川 直轄区間,北川水系
CDAC3290,11609,水系,一級水系 一級河川 直轄区間,由良川水系
CDAC3290,11610,水系,一級水系 一級河川 直轄区間,円山川水系
CDAC3290,11701,水系,一級水系 一級河川 直轄区間,千代川水系
CDAC3290,11702,水系,一級水系 一級河川 直轄区間,天神川水系
CDAC3290,11703,水系,一級水系 一級河川 直轄区間,日野川水系
CDAC3290,11704,水系,一級水系 一級河川 直轄区間,斐伊川水系
CDAC3290,11705,水系,一級水系 一級河川 直轄区間,江の川水系
CDAC3290,11706,水系,一級水系 一級河川 直轄区間,高津川水系
CDAC3290,11707,水系,一級水系 一級河川 直轄区間,佐波川水系
CDAC3290,11708,水系,一級水系 一級河川 直轄区間,小瀬川水系
CDAC3290,11709,水系,一級水系 一級河川 直轄区間,太田川水系
CDAC3290,11710,水系,一級水系 一級河川 直轄区間,芦田川水系
CDAC3290,11711,水系,一級水系 一級河川 直轄区間,高梁川水系
CDAC3290,11712,水系,一級水系 一級河川 直轄区間,旭川水系
CDAC3290,11713,水系,一級水系 一級河川 直轄区間,吉井川水系
CDAC3290,11801,水系,一級水系 一級河川 直轄区間,重信川水系
CDAC3290,11802,水系,一級水系 一級河川 直轄区間,肱川水系
CDAC3290,11803,水系,一級水系 一級河川 直轄区間,渡川水系
CDAC3290,11804,水系,一級水系 一級河川 直轄区間,仁淀川水系
CDAC3290,11805,水系,一級水系 一級河川 直轄区間,物部川水系
CDAC3290,11806,水系,一級水系 一級河川 直轄区間,那賀川水系
CDAC3290,11807,水系,一級水系 一級河川 直轄区間,吉野川水系
CDAC3290,11808,水系,一級水系 一級河川 直轄区間,土器川水系
CDAC3290,11901,水系,一級水系 一級河川 直轄区間,遠賀川水系
CDAC3290,11902,水系,一級水系 一級河川 直轄区間,松浦川水系
CDAC3290,11903,水系,一級水系 一級河川 直轄区間,本明川水系
CDAC3290,11904,水系,一級水系 一級河川 直轄区間,六角川水系
CDAC3290,11905,水系,一級水系 一級河川 直轄区間,嘉瀬川水系
CDAC3290,11906,水系,一級水系 一級河川 直轄区間,筑後川水系
CDAC3290,11907,水系,一級水系 一級河川 直轄区間,矢部川水系
CDAC3290,11908,水系,一級水系 一級河川 直轄区間,菊池川水系
CDAC3290,11909,水系,一級水系 一級河川 直轄区間,白川水系
CDAC3290,11910,水系,一級水系 一級河川 直轄区間,緑川水系
CDAC3290,11911,水系,一級水系 一級河川 直轄区間,球磨川水系
CDAC3290,11912,水系,一級水系 一級河川 直轄区間,川内川水系
CDAC3290,11913,水系,一級水系 一級河川 直轄区間,肝属川水系
CDAC3290,11914,水系,一級水系 一級河川 直轄区間,大淀川水系
CDAC3290,11915,水系,一級水系 一級河川 直轄区間,小丸川水系
CDAC3290,11916,水系,一級水系 一級河川 直轄区間,五ヶ瀬川水系
